NomAuteur,PrenomAuteur,FicheISNI,DBI/ARK,TitreOuvrage,LieuEdition,Editeur,Date,USTC,BiblioConservation,PaysConservation,VilleConservation,LienReproduction,Droits,EditionsModernes,Traductions,BibliographieSelective,Licence,ContributeursEmmaBondoerffer,ContributeursAnaïsMazoué,ContributeursTeklia,ContributeursHippolyteFaré,ContributeursCortoRolaz,ContributeursOctavePhilibert,ContributeursAlessiaAvena,ContributeursYoussoufDiawara,ContributeursJuliaCastiglione,ContributeursAnnaSconza,ContributeursIreneCalcagno,ContributeursMemofonte,ContributeursATIR,ContributeursPierreHusson,ContributeursCarlaTricon,ContributeursNicolòZanolli,ContributeursElisaBonaiuti,NiveauTranscription,SpecificitesDuXML,StructureFichierXML
Huret,Grégoire,http://isni.org/isni/0000000109120963,https://data.bnf.fr/fr/ark:/12148/cb12191860s,"La regle precise, pour descrire le profil eslevé du fust des colomnes, suivant une hauteur, grosseur, et retrécissement donné à discretion, demonstrée geometriquement. [...]",Paris,Edme Martin,1665,http://catalogue.bnf.fr/ark:/12148/cb39316816c,Bibliothèque nationale de France,France,Paris,https://gallica.bnf.fr/ark:/12148/bpt6k1509638p.r=La%20regle%20precise%2C%20pour%20descrire%20le%20profil%20eslev%C3%A9%20du%20fust%20des%20colomnes?rk=21459;2,"Gallica, Bibliothèque nationale de France",,,,,"Transcription, Correction, Structuration, Balisage, Indexation",,,,,,,,,,,,,,,,,Niveau 2,,front (titlePage + preface) + body (2 chapitres [43 et 10 section] + 1 conclusion)
Martin,Jean,https://isni.org/page/search-database/,https://data.bnf.fr/fr/ark:/12148/cb12462195n,Le premier livre d’architecture de Sebastiano Serlio; Le second livre de perspective (1537- 1540 Antichità),Paris,Jean Barbé,1545,https://catalogue.bnf.fr/ark:/12148/cb313544573,Bibliothèque nationale de France,France,Paris,https://architectura.cesr.univ-tours.fr/Traite/Notice/ENSBA_LES1736.asp?param=,École nationale supérieure des beaux-arts de Paris,,,,,"Transcription, Correction, Structuration, Balisage, Indexation",,,,,,,,,,"Correction, Structuration, Balisage, Indexation",,,,,,,Niveau 2,"errata pas corrigé. Livre bilingue, systeme de ptr et d'xml:id dans les p. <p xml:id=""I2"" xml:lang=""ita"" rend=""it""><ptr target=""#F2""/>  <p xml:id=""F2"" xml:lang=""fra""><ptr target=""#I2""/>",front (titlePage + eloge + errata) + body (2 livres) + back (avis)
Zuccari - Alberti,Federico - Romano,https://isni.org/isni/0000000453031871  - https://isni.org/isni/0000000398185535,https://data.bnf.fr/ark:/12148/cb12412468j - https://data.bnf.fr/en/ark:/12148/cb166044630,"Origine, et progresso dell'Academia del disegno, de pittori, scultori, &*.",Pavia,Pietro Bartoli,1604,https://catalogue.bnf.fr/ark:/12148/cb31692442x,Bibliothèque nationale de France,France,Paris,https://gallica.bnf.fr/ark:/12148/bpt6k111903m.image,"Gallica, Bibliothèque nationale de France",,,,,,,,,,"Transcription, Correction, Structuration, Balisage, Indexation",,,,,"Transcription, Correction, Structuration, Balisage, Indexation",,,,,,,Niveau 2,numérotation des chapitres et sous chapitres continue (sortie Teklia),front (titlePage + poemes + avis) + body (
Marino,Giovan Battista,https://isni.org/isni/0000000121297454,https://data.bnf.fr/fr/ark:/12148/cb12158025x,Dicerie sacre Diceria 1,Torino,Luigi Pizzamiglio,1614,https://catalogue.bnf.fr/ark:/12148/cb30885628n,Bibliothèque nationale de France,France,Paris,à compléter,Bibliothèque nationale de France,,,,,,"Transcription, Structuration, Balisage, Indexation",,,,,,,,,"Correction, Balisage, Indexation",,,,,,,Niveau 2,1 paragraphe par div1,front (titlePage + lettres + dedicaces + poeme) + body (3 livres)
Martin,Jean,https://isni.org/isni/0000000076903637,https://data.bnf.fr/fr/ark:/12148/cb12462195n,L’architecture et art de bien bastir du Seigneur Leon Baptiste Alberti,Paris,Jacques Kerver,1553,https://catalogue.bnf.fr/ark:/12148/cb30007826z,Bibliothèque nationale de France,France,Paris,https://gallica.bnf.fr/ark:/12148/bpt6k85631r,"Gallica, Bibliothèque nationale de France",,,"Jean Martin, un traducteur au temps de François Ier et de Henri II, Centre V.-L. Saulnier, Université de Paris-Sorbonne, Paris, Presses de l'École normale supérieure, 1999 ; Michèle A. Lorgnet, Jan Martin, translateur d'emprise, réflexions sur les constructeurs de textes à la Renaissance, Bologne, CLUEB, 1994",,"Transcription, Correction, Structuration, Balisage, Indexation",,,,,,,,,,,,,,,,,Niveau 2,,front (titlePage + lettres + privilege + gap + avis + preface) + body (10 livres L avec des chapitres C)
Pader,Hilaire,https://isni.oclc.org/cbs/DB=1.2/CMD?ACT=SRCH&IKT=8006&TRM=ISN%3A0000000122591313&TERMS_OF_USE_AGREED=Y&terms_of_use_agree=send,https://data.bnf.fr/fr/ark:/12148/cb12629498q,Songe énigmatique sur la peinture universelle,Toulouse,Arnaud Colomiez,1658,https://catalogue.bnf.fr/ark:/12148/cb310486347,Bibliothèque nationale de France,France,Paris,https://gallica.bnf.fr/ark:/12148/bpt6k1118908,"Gallica, Bibliothèque nationale de France",,,"Stéphanie Trouvé, ""Lomazzo and France. Hilaire Pader’s translation : theoretical and artistic issues"", Lexicographie artistique, dir. Michèle-Caroline Heck avec la collaboration de Marianne Freyssinet et de Stéphanie Trouvé, Montpellier, LexArt - PUM, 2018, coll. Arts. Série Théorie des arts, 2018, p. 103-112; S. Trouvé, Peinture et discours. La construction de l’école de Toulouse, XVIIe-XVIIIe siècles, Rennes, PUR, 2016, coll. Art & société",,Structuration,"Balisage, Indexation",,,,,,"Transcription, Correction",,,,,,,Indexation,,,Niveau 3,"figures numérotées. Les trémas qui ne correspondent pas à l'usage actuel ont été supprimés, à l'exception des cas où ils marquent une diphtonguaison.",front (titlePage + preface) + body (livre L1)
Monier,Pierre,https://isni.org/isni/0000000121263908,https://data.bnf.fr/ark:/12148/cb12195679m,Histoire des arts qui ont rapport au dessein,Paris,Pierre Giffart,1698,https://www.ustc.ac.uk/editions/3131573,Bibliothèque nationale de France,France,Paris,https://gallica.bnf.fr/ark:/12148/bpt6k74873s,"Gallica, Bibliothèque nationale de France",,,,,,"Correction, Structuration, Balisage, Indexation","Transcription, Structuration",,,,,,,,,,,Identification des œuvres,"Identification des œuvres, Indexation",,,Niveau 3,"notes numérotées de 1 pour chaque chapitre. Certaines notes sont séparées en plusieurs parties, parfois sur plusieurs pages. Appels de notes dans le texte avec le numéro de la note. DatesDeluge avec @when-custom pour certaines dates.",front (titlePage + lettre + preface + dedicace) + body (3 livres L avec chapitres C)
Daret,Pierre,https://isni.oclc.org/cbs/DB=1.2/CMD?ACT=SRCH&IKT=8006&TRM=ISN%3A0000000121202494&TERMS_OF_USE_AGREED=Y&terms_of_use_agree=send,https://data.bnf.fr/ark:/12148/cb12259347g,"Abregé de la vie de Raphaël Sansio d'Urbin, tres-excellent peintre & architecte ; ou il est traitté de ses oeuvres, des stampes qui en ont esté gravées, tant par Marc-Antoine Bolognois qu'autres excellent [""sic""] graveurs",Paris,Chez l'auteur,1651,https://catalogue.bnf.fr/ark:/12148/cb31545604f,Bibliothèque nationale de France,France,Paris,https://gallica.bnf.fr/ark:/12148/bpt6k1503469p,"Gallica, Bibliothèque nationale de France",,,"Stefania Tullio Cataldo, Vasari et la France. Primauté culturelle et réception des Vite aux XVIe et XVIIe siècles, Cahiers d'Humanisme et Renaissance 206, Génève, Droz, 2025",,,"Correction, Balisage, Indexation","Transcription, Structuration",Correction,,,,,,,,,,"Correction, Identification des œuvres","Identification des œuvres, Indexation",,,Niveau 3,liste des stampes ou pieces de Raimondi et Raphaël.,front (titlePage + preface) + body (2 chapitres)
Dupuy du Grez,Bernard,https://isni.org/isni/0000000122704314,https://data.bnf.fr/fr/ark:/12148/cb13011007f,Traité sur la peinture pour apprendre la teorie et se perfectionner dans la pratique,Toulouse,Veuve de J. Pech & A. Pech,1699,https://catalogue.bnf.fr/ark:/12148/cb30383816v,Bibliothèque nationale de France,France,Paris,https://gallica.bnf.fr/ark:/12148/bpt6k111861m,"Gallica, Bibliothèque nationale de France","Bernard Dupuy du Grez, Traité sur la peinture pour en apprendre la théorie et se perfectionner dans la pratique, éd. et notes par D. Dauvois, Paris, Vrin, 2011.",,"Stéphanie Trouvé, Peinture et discours. La construction de l’école de Toulouse, XVIIe-XVIIIe siècles, Rennes, PUR, 2016, coll. Art & société",,"Correction, Structuration, Indexation",,,"Transcription, Correction, Balisage",,,,,,,,,,,,,,Niveau 3,"Sous sections dans les C2 de L2/L3/L4. Table des matières mentionne des oeuvres, pas de objectName. Les trémas qui ne correspondent pas à l'usage actuel ont été supprimés, à l'exception des cas où ils marquent une diphtonguaison.",front (titlePage + preface + avertissement + privilege + errata) + body (4 livres avec C1 dissertation et C2 supplément à la dissertation) + back (table des matieres)
Piles (de),Roger,https://isni.org/isni/0000000083425581,https://data.bnf.fr/fr/ark:/12148/cb11998742h,Dialogue sur le coloris,Paris,Nicolas Langlois / Antoine Lambin,1699,https://catalogue.bnf.fr/ark:/12148/cb31112328k,Bibliothèque nationale de France,France,Paris,https://gallica.bnf.fr/ark:/12148/bpt6k111107n/f1.item,"Gallica, Bibliothèque nationale de France",,"Roger de Piles, Dialogo sul colorito, éd. Giovanna Perini Folesani et Sandra Costa, trad. ital. Monique Gabellini,  Florence, Leo S. Olschki, 2017","Bernard Teyssèdre, ""Roger de Piles et les débat sur le coloris au siècled e Louis XIV"", Paris, Bibliothèque des Arts, 1965; Jacqueline Lichtenstein, La couleur éloquente, rhétorique et peinture à l’âge classique, Paris, Flammarion, 1999",,,"Correction, Structuration, Balisage, Indexation",,,,,,,,,,,,,,,,Niveau 3,,front (titlePage) + body (1 livre)
Piles (de),Roger,https://isni.org/isni/0000000083425581,https://data.bnf.fr/fr/ark:/12148/cb11998742h,Cours de Peinture par Principes,Paris,Charles-Antoine Jombert,1708,https://catalogue.bnf.fr/ark:/12148/cb311123215,Bibliothèque nationale de France,France,Paris,https://gallica.bnf.fr/ark:/12148/bpt6k5814705x?rk=21459;2,"Gallica, Bibliothèque nationale de France","Roger de Piles, Cours de peinture par principes, Paris, Gallimard, 1989",,"Thomas Puttfarken, Roger de Piles' theory of art, New Haven, London, Yale university press, 1985;  Jacqueline Lichtenstein, La couleur éloquente, rhétorique et peinture à l'âge classique, Pairs, Flammarion, 1999",,"Transcription, Correction, Structuration, Balisage, Indexation",,,,,,,,,,,,,"Correction, Identification des œuvres",,,,Niveau 3,,front (titlePage) + body (18 chapitres)
Piles (de),Roger,https://isni.org/isni/0000000083425581,https://data.bnf.fr/fr/ark:/12148/cb11998742h,"Conversations sur la connoissance de la peinture, et sur le jugement qu'on doit faire des tableaux. Où par occasion il est parlé de la vie de Rubens, et de quelques-uns de ses plus beaux Ouvrages.",Paris,Nicolas Langlois,1677,https://catalogue.bnf.fr/ark:/12148/cb31112320t,Bibliothèque nationale de France,France,Paris,https://gallica.bnf.fr/ark:/12148/bpt6k65173190?rk=42918;4,"Gallica, Bibliothèque nationale de France",,,"Thomas Puttfarken, Roger de Piles' theory of art, New Haven, London, Yale university press, 1985;  Jacqueline Lichtenstein, La couleur éloquente, rhétorique et peinture à l'âge classique, Pairs, Flammarion, 1999",,"Transcription, Correction, Structuration, Indexation",,,Balisage,,,,,,,,,,,,,,Niveau 3,"Les trémas qui ne correspondent pas à l'usage actuel ont été supprimés, à l'exception des cas où ils marquent une diphtonguaison.",front (titlePage + preface) + body (2 livres) + back (privilege)
Piles (de),Roger,https://isni.org/isni/0000000083425581,https://data.bnf.fr/fr/ark:/12148/cb11998742h,"Abregé de la vie des peintres, Avec des reflexions sur leurs Ouvrages, Et un Traité du Peintre parfait, de la connoissance des Desseins, et de l’utilité des Estampes.",Paris,François Muguet,1699,https://catalogue.bnf.fr/ark:/12148/cb31112316k,Bibliothèque nationale de France,France,Paris,https://gallica.bnf.fr/ark:/12148/bpt6k6568782t.r,"Gallica, Bibliothèque nationale de France","R. De Piles, Abregé de la vie des peintres, Avec des reflexions sur leurs Ouvrages, Et un Traité du Peintre parfait, de la connoissance des Desseins, et de l’utilité des Estampes, Reprint de l'éd. de Paris 1699, Hildesheim, Olms, 1969 ",,"Thomas Puttfarken, Roger de Piles' theory of art, New Haven, London, Yale university press, 1985;  Jacqueline Lichtenstein, La couleur éloquente, rhétorique et peinture à l'âge classique, Pairs, Flammarion, 1999",,"Correction, Structuration, Balisage, Indexation",,"Transcription, Structuration",,,,,,,,,,,,Identification des œuvres,,,Niveau 3,"Numérotation des chapitres continue sur tous les livres (Dans C30 les SC sont les abregés, après les C sont les abregés)","front (titlePage + preface) + body (7 livres [L1 = idée du peintre, à partir de C30 = abregé vie des peintres] 255 chapitres au total)"
Lomazzo/Pader,Hilaire,https://isni.org/isni/0000000121427781; https://isni.oclc.org/cbs/DB=1.2/CMD?ACT=SRCH&IKT=8006&TRM=ISN%3A0000000122591313&TERMS_OF_USE_AGREED=Y&terms_of_use_agree=send,https://data.bnf.fr/fr/ark:/12148/cb12358011k; https://data.bnf.fr/fr/ark:/12148/cb12629498q,Traicté de la proportion naturelle et artificielle des choses par Jean Pol Lomazzo [...] traduit d'italien en français par Hilaire Pader,Toulouse,Arnaud Colomiez,1649,https://catalogue.bnf.fr/ark:/12148/cb30829064k,Bibliothèque nationale de France,France,Paris,https://gallica.bnf.fr/ark:/12148/btv1b86266498,"Gallica, Bibliothèque nationale de France",,,"Stéphanie Trouvé, ""Lomazzo and France. Hilaire Pader’s translation : theoretical and artistic issues"", Lexicographie artistique, dir. Michèle-Caroline Heck avec la collaboration de Marianne Freyssinet et de Stéphanie Trouvé, Montpellier, LexArt - PUM, 2018, coll. Arts. Série Théorie des arts, 2018, p. 103-112; S. Trouvé, Peinture et discours. La construction de l’école de Toulouse, XVIIe-XVIIIe siècles, Rennes, PUR, 2016, coll. Art & société",,,"Correction, Structuration, Balisage, Indexation",Transcription,,,,,,,,,,,,,,,Niveau 3,,front (titlePage + lettre + preface + avertissement + eloge + biographie + preface) + body (L1 [32 chapitres])
